Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200426,S92000003,5,19,1999,183.941087322788,8,185,17.0230621084121,7735,711.748029235499
20200427,S92000003,1,96,2647,244.061883102933,11,402,37.0656883291949,9502,876.114852000026
20200427,S92000003,2,90,2515,231.948161660952,15,361,33.2935532244945,8859,817.029329683647
20200427,S92000003,3,77,2033,187.06792875408,8,245,22.5438477839398,8340,767.410981706358
20200427,S92000003,4,86,2181,199.048473459747,19,256,23.3637823043078,8473,773.286435407812
20200427,S92000003,5,77,2076,191.026361821965,7,192,17.6671779719736,8053,741.00929275158
20200428,S92000003,1,97,2744,253.005593968435,8,410,37.8033139675869,10008,922.769673628316
20200428,S92000003,2,78,2593,239.141782579264,10,371,34.2158123165857,9354,862.681154742164
20200428,S92000003,3,60,2093,192.588871068514,7,252,23.1879577206238,8763,806.333625023119
20200428,S92000003,4,71,2252,205.528272458208,10,266,24.2764300505698,8866,809.15349183591
20200428,S92000003,5,68,2144,197.283487353705,5,197,18.1272607316604,8358,769.074341092476
20200429,S92000003,1,101,2845,262.318117653133,8,418,38.5409396059788,10707,987.219713782812
20200429,S92000003,2,89,2682,247.349888498876,5,376,34.6769418626314,10139,935.078493471328
20200429,S92000003,3,87,2180,200.594237424444,7,259,23.8320676573077,9323,857.862419957838
20200429,S92000003,4,74,2326,212.281865780547,8,274,25.0065482475794,9503,867.2891532728
20200429,S92000003,5,72,2216,203.908679093195,9,206,18.9554096990967,8885,817.567063963466
